gene_IDs,DMSO,BPA
ENSG00000155495,7.885897336,7.965024853
ENSG00000234286,10.40450286,10.43603431
ENSG00000165457,2.764916672,3.909542375
ENSG00000113070,4.298524707,4.483365303
ENSG00000122882,8.182791024,8.126749209
ENSG00000115207,9.88120549,9.864435872
ENSG00000102978,4.934113632,5.113704256
ENSG00000248714,3.08920217,4.036832309
ENSG00000241935,8.007177482,8.112046175
ENSG00000157540,5.488409963,5.059902666
ENSG00000126005,11.46723727,11.43421386
ENSG00000065618,4.288425567,4.849038206
ENSG00000168591,8.23897329,8.366610194
ENSG00000265799,5.600278398,5.985639083
ENSG00000181104,3.067036758,2.980553824
ENSG00000277288,3.889055665,4.200898266
ENSG00000082515,10.03305684,9.991441447
ENSG00000068489,3.528693067,4.203360915
ENSG00000213551,8.56430797,8.646763427
ENSG00000229692,3.354025079,3.747758019
ENSG00000114315,3.565957402,3.698596191
ENSG00000104231,6.764605137,6.860093806
ENSG00000078304,7.115154165,7.052681623
ENSG00000157538,9.180731151,9.141567827
